Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
BR_trial2_01_20220808_NR,2023-08-17 14:35:44,,/Users/queen_nishika/Downloads/BR_trial2_01_20220808.mov,2166.000,30.0,Pool 2,Open,,,STATE,744.668,2163.831,1419.163,,
BR_trial3_02_20220808,2024-02-27 13:51:18,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial3_02_20220808.mov,2207.900,30.0,Pool 4,Hiding,,,STATE,744.761,748.776,4.015,,
WES_trial2_03_20220808,2023-08-29 09:57:04,,/Users/queen_nishika/Downloads/WES_trial2_03_20220808.mov,2198.700,30.0,Pool 5,Hiding,,,STATE,744.906,762.164,17.258,,
WES_trial2_04_20220812_NR,2023-08-10 11:36:23,,/Users/queen_nishika/Downloads/WES_trial2_04_20220812.mov,2040.856,30.0,Pool 1,Hiding,,,STATE,745.669,1049.171,303.502,,
BR_trial1_02_20220808,2024-02-13 14:30:42,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial1_02_20220808.mov,2093.970,30.0,Pool 1,Hiding,,,STATE,745.927,803.933,58.006,,
WES_trial2_01_20220812_NR,2023-08-09 11:08:37,,/Users/queen_nishika/Downloads/WES_trial2_01_20220812.mov,2021.630,30.0,Pool 5,Hiding,,,STATE,746.418,770.697,24.279,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 5,Open,,,STATE,746.694,756.686,9.992,,
WES_trial2_02_20220808,2023-09-11 11:46:22,,/Users/queen_nishika/Downloads/WES_trial2_02_20220808.mov,2447.600,30.0,Pool 5,Hiding,,,STATE,746.911,783.698,36.787,,
WES_trial1_03_20220812_NR,2023-08-08 10:29:42,,/Users/queen_nishika/Downloads/WES_trial1_03_20220812.mov,1948.900,30.0,Pool 1,Hiding,,,STATE,746.912,1370.448,623.536,,
WES_trial2_02_20220812_NR,2023-08-10 09:48:14,,/Users/queen_nishika/Downloads/WES_trial2_02_20220812.mov,2054.300,30.0,Pool 4,Open,,,STATE,747.167,1283.919,536.752,,
WES_trial1_01_20220808,2023-08-28 13:53:47,,/Users/queen_nishika/Downloads/WES_trial1_01_20220808.mov,2206.370,30.0,Pool 3,Hiding,,,STATE,747.635,778.919,31.284,,
WES_trial3_02_20220809,2023-09-24 18:11:57,,/Users/queen_nishika/Downloads/WES_trial3_02_20220809.mov,2639.270,30.0,Pool 4,Hiding,,,STATE,747.707,772.664,24.957,,
WES_trial1_02_20220812,2023-09-20 16:01:05,,/Users/queen_nishika/Downloads/WES_trial1_02_20220812.mov,2539.230,30.0,Pool 4,Hiding,,,STATE,748.184,815.416,67.232,,
BR_trial3_02_20220808,2024-02-27 13:51:18,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial3_02_20220808.mov,2207.900,30.0,Pool 4,Open,,,STATE,748.776,754.873,6.097,,
WES_trial2_05_20220812,2023-09-23 10:41:23,,/Users/queen_nishika/Downloads/WES_trial2_05_20220812.mov,2565.000,30.0,Pool 2,Open,,,STATE,749.162,1390.156,640.994,,
BR_trial2_01_20220808_NR,2023-08-17 14:35:44,,/Users/queen_nishika/Downloads/BR_trial2_01_20220808.mov,2166.000,30.0,Pool 3,Hiding,,,STATE,749.165,1271.696,522.531,,
BR1_trial2_01_20220810_NR,2023-08-11 11:17:57,,/Users/queen_nishika/Downloads/BR1_trial2_01_20220810.mov,2083.750,30.0,Pool 1,Hiding,,,STATE,749.171,2012.194,1263.023,,
WES_trial1_02_20220812,2023-09-20 16:01:05,,/Users/queen_nishika/Downloads/WES_trial1_02_20220812.mov,2539.230,30.0,Pool 2,Open,,,STATE,750.427,785.704,35.277,,
BR_trial2_02_20220809,2023-09-11 10:08:20,,/Users/queen_nishika/Downloads/BR_trial2_02_20220809.mov,2459.630,30.0,Pool 5,Hiding,,,STATE,750.698,760.175,9.477,,
BR_trial3_01_20220808,2024-02-20 14:21:35,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial3_01_20220808.mov,2176.430,30.0,Pool 1,Hiding,,,STATE,751.134,2174.663,1423.529,,
BR_trial2_02_20220808,2024-02-20 13:56:04,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial2_02_20220808.mov,2459.630,30.0,Pool 5,Hiding,,,STATE,751.209,761.470,10.261,,
BR1_trial3_01_20220810,2023-08-24 15:23:48,,/Users/queen_nishika/Downloads/BR1_trial3_01_20220810.mov,2234.630,30.0,Pool 4,Open,,,STATE,751.437,988.186,236.749,,
BR2_trial2_01_20220810_NR,2023-08-14 14:12:43,,/Users/queen_nishika/Downloads/BR2_trial2_01_20220810.mov,2099.930,30.0,Pool 3,Open,,,STATE,751.648,773.181,21.533,,
WES_trial2_02_20220808,2023-09-11 11:46:22,,/Users/queen_nishika/Downloads/WES_trial2_02_20220808.mov,2447.600,30.0,Pool 1,Open,,,STATE,751.660,767.409,15.749,,
BR_trial1_01_20220808,2024-02-13 13:51:17,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial1_01_20220808.mov,2188.230,30.0,Pool 2,Open,,,STATE,751.759,803.976,52.217,,
WES_trial1_04_20220812_NR,2023-08-15 10:48:35,,/Users/queen_nishika/Downloads/WES_trial1_04_20220812.mov,2159.581,30.0,Pool 4,Open,,,STATE,752.907,788.166,35.259,,
WES_trial1_03_20220812_NR,2023-08-08 10:29:42,,/Users/queen_nishika/Downloads/WES_trial1_03_20220812.mov,1948.900,30.0,Pool 4,Open,,,STATE,753.666,788.702,35.036,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 2,Open,,,STATE,753.669,756.410,2.741,,
WES_trial3_01_20220809_NR,2023-08-16 11:38:08,,/Users/queen_nishika/Downloads/WES_trial3_01_20220809.mov,2134.700,30.0,Pool 3,Open,,,STATE,754.382,764.395,10.013,,
BR_trial3_02_20220808,2024-02-27 13:51:18,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial3_02_20220808.mov,2207.900,30.0,Pool 4,Hiding,,,STATE,754.873,762.784,7.911,,
WES_trial1_02_20220808,2024-02-27 13:58:54,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/WES_trial1_02_20220808.mov,2132.630,30.0,Pool 6,Hiding,,,STATE,756.391,821.397,65.006,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 2,Hiding,,,STATE,756.410,1153.187,396.777,,
WES_trial2_04_20220812_NR,2023-08-10 11:36:23,,/Users/queen_nishika/Downloads/WES_trial2_04_20220812.mov,2040.856,30.0,Pool 2,Open,,,STATE,756.670,874.417,117.747,,
WES_trial2_03_20220812_NR,2023-08-09 15:08:01,,/Users/queen_nishika/Downloads/WES_trial2_03_20220812.mov,2032.750,30.0,Pool 3,Hiding,,,STATE,756.687,761.187,4.500,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 5,Hiding,,,STATE,757.694,763.712,6.018,,
