Image,Name,Length µm
IMG_20220811_155121404_HDR.jpg,total,29839.8
IMG_20220811_155302989_HDR.jpg,wes_11aug_pf-45_f,10000
IMG_20220811_155302989_HDR.jpg,standard,28407.3
IMG_20220811_155302989_HDR.jpg,total,33340.2
IMG_20220811_155434035_HDR.jpg,wes_11aug_pl-45_f,10000
IMG_20220811_155434035_HDR.jpg,standard,50656.1
IMG_20220811_155434035_HDR.jpg,total,61654.9
IMG_20220811_155626256.jpg,wes_11aug_pf-46_f,10000
IMG_20220811_155626256.jpg,standard,44193.5
IMG_20220811_155626256.jpg,total,52596.5
IMG_20220811_160341001_HDR.jpg,wes_aug11_pf-47_f,10000
IMG_20220811_160341001_HDR.jpg,standard,28036.3
IMG_20220811_160341001_HDR.jpg,total,33533.6
IMG_20220811_160535131_HDR.jpg,wes_11aug_pl-46_m,10000
IMG_20220811_160535131_HDR.jpg,standard,48266.1
IMG_20220811_160535131_HDR.jpg,total,56027.5
IMG_20220811_160727757.jpg,wes_11aug_pl-47_f,10000
IMG_20220811_160727757.jpg,standard,27200.7
IMG_20220811_160727757.jpg,total,33478.2
IMG_20220811_160917132_HDR.jpg,wes_11aug_pf-48_f,10000
IMG_20220811_160917132_HDR.jpg,standard,37261
IMG_20220811_160917132_HDR.jpg,total,45675.5
IMG_20220811_161105974_HDR.jpg,wes_11aug_pl-48_f,10000
IMG_20220811_161105974_HDR.jpg,standard,39270.4
IMG_20220811_161105974_HDR.jpg,total,47200.6
IMG_20220811_161207320_HDR.jpg,wes_11aug_pl-49_m,10000
IMG_20220811_161207320_HDR.jpg,standard,37610.2
IMG_20220811_161207320_HDR.jpg,total,45295.8
IMG_20220811_161357826_HDR.jpg,wes_11aug_pf-49_f,10000
IMG_20220811_161357826_HDR.jpg,standard,36330.7
IMG_20220811_161357826_HDR.jpg,total,45109.2
IMG_20220811_161717992_HDR.jpg,wes_11aug_pf-50_f,10000
IMG_20220811_161717992_HDR.jpg,standard,18974.2
IMG_20220811_161717992_HDR.jpg,total,22586.5
IMG_20220811_162026833.jpg,wes_11aug_pf-51_f,10000
IMG_20220811_162026833.jpg,standard,38284.5
IMG_20220811_162026833.jpg,total,46814.5
IMG_20220811_162405271.jpg,wes_11aug_pf-52_f,10000
IMG_20220811_162405271.jpg,standard,28594.6
IMG_20220811_162405271.jpg,total,34577.6
IMG_20220811_162702756_HDR.jpg,wes_11aug_pf-53_f,10000
IMG_20220811_162702756_HDR.jpg,standard,30640.8
IMG_20220811_162702756_HDR.jpg,total,35630.9
IMG_20220811_162837697.jpg,wes_11aug_pl-50_f,10000
IMG_20220811_162837697.jpg,standard,43856.9
IMG_20220811_162837697.jpg,total,54058.5
IMG_20220811_163010259_HDR.jpg,wes_11aug_pf-54_f,10000
IMG_20220811_163010259_HDR.jpg,standard,26237.7
IMG_20220811_163010259_HDR.jpg,total,32774.3
IMG_20220811_163109057_HDR.jpg,wes_11aug_pf-55_f,10000
IMG_20220811_163109057_HDR.jpg,standard,31754.4
IMG_20220811_163109057_HDR.jpg,total,36271.5
IMG_20220811_163233159_HDR.jpg,wes_11aug_pf-56_f,10000
IMG_20220811_163233159_HDR.jpg,standard,28380.7
IMG_20220811_163233159_HDR.jpg,total,34289.5
IMG_20220811_164453130.jpg,wes_11aug_pf-57_f,10000
IMG_20220811_164453130.jpg,standard,27922.6
IMG_20220811_164453130.jpg,total,34143.9
IMG_20220811_164634062_HDR.jpg,wes_aug11_pf-58_f,10000
IMG_20220811_164634062_HDR.jpg,standard,36024.9
IMG_20220811_164634062_HDR.jpg,total,45943.3
IMG_20220811_165304478.jpg,wes_11aug_pf-59_f,10000
IMG_20220811_165304478.jpg,standard,17466.2
IMG_20220811_165304478.jpg,total,21522
IMG_20220811_165414350.jpg,wes_11aug_pl-51_f,10000
IMG_20220811_165414350.jpg,standard,43540.4
IMG_20220811_165414350.jpg,total,54516.2
IMG_20220811_165523735.jpg,wes_11aug_pl-52_m,10000
IMG_20220811_165523735.jpg,standard,28888.4
IMG_20220811_165523735.jpg,total,37527.9
IMG_20220811_165721550_HDR.jpg,wes_11aug_pl-53_f,10000
IMG_20220811_165721550_HDR.jpg,standard,43929.9
IMG_20220811_165721550_HDR.jpg,total,53965
IMG_20220811_165854972.jpg,wes_11aug_pf-60_f,10000
IMG_20220811_165854972.jpg,standard,36170.9
IMG_20220811_165854972.jpg,total,43708.4
IMG_20220811_170010860_HDR.jpg,wes_11aug_pl-54_m,10000
IMG_20220811_170010860_HDR.jpg,standard,36484.5
IMG_20220811_170010860_HDR.jpg,total,46821.6
